name,segment_ids,id,descriptn,part_of
Springwater Corridor,166114;167248;167312;167351;167432;167635;168002;168078;168300;168329;168345;168347;168430;168431;168434;168552;168740;168742;168845;168851;168873;168874;169122;169123;169519;169522;169529;169559;169612;169630;169676;169738;169739;169763;169790;169826;169831;169897;169930;169934;169967;170045;170090;170175;170204;170229;170319;170344;170349;170398;170400;170438;170439;170447;170465;170488;170492;170515;170542;170543;170585;170586;170587;170594;170611;170637;170638;170639;170684;170777;170839;170910;170911;170986;171046;171060;171085;171086;171240;171279;171290;171304;171329;171332;171375;171491;171547;171548;171559;171569;171593;171594;171603;171604;171626;171685;171714;171716;171763;171764;171767;171768;171772;171773;171817;171928;171930;171951;171958;171980;172080;172162;172209;172210;172229;172255;172261;172263;172317;172320;172321;172344;172367;172380;172386;172446;172476;172484;172525;172547;172552;172553;172558;172587;172591;172618;172620;172642;172649;172660;172676;172712;172729;172745;172752;172781;172793;172794;172814;172815;172836;172843;172848;172852;172857;172899;172982;173015;173016;173025;173059;173060;173085;173093;173098;173143;173154;173161;173167;173179;173180;173181;173209;173210;173240;173254;173259;173262;173284;173286;173324;173340;173353;173391;173414;173481;173497;173516;173530;173533;173576;173587;173608;173611;173612;173641;173706;173729;173730;173822;173823;173839;173852;173853;173854;173865;173886;173904;173922;173941;173957;173985;174016;174019;174046;174047;174048;174058;174067;174133;174135;174242;174322;174487;174641;174872;175117;175187;175188;175481;175777;175779;176012;176347;177121;177129;177324;177325;177649;177650;177967;178226;178404;178501;178646;178659;178722;179361;179856;179926;179927;180093;180095;180226;180432;180545;180546;180665;180666;180667;180729;180747;181344;181422;181423;181473;181474;181480;181483;181484;181486;181553;181554;181555;181556;181557;181558;181559;181560;181561;181562;181563;181565;181566;181567;181569;181570;181571;181572;181573;181575;181576;181577;181578,170319,,""
Springville Road,167607;170176;170177;170178;170232;170233;170323;171601;171602;171605;171606;171609;171610;171611;171612;176433,170323,,""
Bristlecone Pine Trail,165684;165773;170875;171161;171182;172699;174930;178011;179379,165684,,""
Hawthorne Bridge,165685;170909;171005;171726;172368;174709;174710;176763;179283;179568;179569;179570;179674;180099;180498;180743;181673,165685,,""
Newton Road,170091;170100;170325;170327;174397;175000;175089;175090;175604;176460;176514;176767;177046;177047,170325,,""
Magnolia Trail,173713;176390;177492;177493;177555;177874;179922,177555,,""
Firelane 5,166775;167603;167611;168614;170028;170037;170038;170328;170329;170387;171965;172029;173453;174093;174898;176594;176793;178230,170328,,""
Waterfront Park Trail Connector,165717;177631;178120;181803;181849,165717,,""
Peninsula Crossing Trail - Connector,165747;165953;166398;166542;166543;166572;181859;181862;181863,165747,,""
Red Electric Trail,165757;168452;168521;169158;169582;169757;169944;170206;170383;170461;170588;170907;170908;171284;171299;172183;172385;172670;172671;172731;172980;172983;173017;173202;173384;175373;175495;175496;175774;175776;175802;179847;180089,165757,,""
South Meadow Trail,168003;169518;170024;170348;170934;170936;170937,170348,,""
