name,segment_ids,id,descriptn,part_of
Flicker Trail,180796;180797;180798;180802;180805,180796,,""
Towhee Trail,180804,180804,,""
N. Going St. - Greeley Ave Connector,181036;181037,181036,,""
SE 77th Avenue Connector,181473;181474,181473,,""
Sylvania Park Trails,165527;165909;170276;173400;173668;178158;179440;181641,165527,,""
Irving Park Trails,165555;165689;165762;168688;168689;169477;170303;171078;172349;172691;173261;173548;173949;174115;174761;174824;175216;175252;175285;175653;175734;176351;176507;177419;177532;177748;177753;177791;177809;177972;178077;178770;179203;179318;179345;179824;181839;181840;181841;181842;181843,177532,,""
Wilshire Park Trails,165531;165632;165981;167262;168687;168703;168704;168705;168706;168707;169574;169575;169847;170753;171200;174691;178015;178403;178458,165531,,""
Maricara Natural Area Trails,165537;165543;165617;165622;165671;165733;165782;165798;165820;165827;165842;165843;165875;166102;169567;170272;170389;170499;170613;170678;170679;170750;170862;171258;171635;173671;173831;174029;174250;174425;174609;174610;174788;174864;174944;175502;175788;176042;176209;176636;176880;176923;177173;177335;177399;177412;177558;177595;177643;177727;177728;177817;177859;177886;177948;178042;178099;178100;178160;178306;178452;178843;178990;179224;179373;179511;179538;179556;179889,165537,,""
Tanner Springs Park Trails,165538;165896;166263;166264;166283;167403;169055;169125;169126;169649;169905;169962;169964;170802;170977;171406;171621;172871;174882;175268;175591;177242;177989;179300,165538,,""
Gabriel Park Trails,165539;165614;165615;165642;165823;165961;165977;166013;166037;166062;166066;167211;167212;167554;168783;168985;169059;169450;169621;169816;169835;170086;170368;170602;170725;170931;170951;171120;171311;171322;171346;171413;171448;171555;171853;171885;172235;172481;172498;172511;172566;172569;172837;174076;174579;174726;174809;174862;175283;175302;175427;175490;175567;175721;175931;175933;176150;176563;176621;176639;177066;177149;177168;177172;177281;177845;177945;178027;178380;178467;178487;178581;178651;178704;178765;178898;178901;178952;179089;179269;179496;180925;180926;180927;180956;180957;180958;180959;180960,165539,,""
Mt Tabor Park Trails,165540;165545;165556;165560;165649;165690;165706;165841;165857;165916;165996;166005;166128;166274;166275;166282;166285;166428;166429;166683;166917;167062;167063;167064;167065;167066;167096;167115;167400;167402;167407;167438;167461;167472;167523;167526;167531;167718;168011;168045;168249;168254;168263;168306;168307;168361;168390;168391;168392;168393;168394;168413;168418;168419;168544;168627;168767;168768;168782;168787;168788;168791;168792;168793;168956;168974;169024;169034;169054;169056;169099;169101;169127;169161;169238;169338;169442;169443;169445;169523;169637;169642;169644;169663;169680;169682;169683;169719;169735;169773;169775;169780;169838;169861;169903;169961;169970;170003;170011;170015;170043;170064;170066;170067;170085;170563;170654;170671;170801;170831;170878;170881;170928;170965;170970;171029;171033;171049;171113;171116;171169;171170;171199;171216;171218;171220;171251;171252;171253;171254;171274;171309;171313;171347;171352;171371;171401;171408;171409;171414;171416;171440;171565;171642;171861;171911;172142;172147;172151;172197;172236;172239;172241;172243;172268;172350;172460;172512;172513;172581;172583;172663;172678;172825;172827;173151;173191;173296;173390;173452;173579;173580;173644;173742;173801;174121;174181;174221;174328;174335;174370;174449;174496;174511;174572;174598;174704;174743;174746;174795;174810;174813;174938;174971;174992;175012;175023;175040;175159;175162;175237;175320;175321;175456;175489;175625;175740;175880;175898;176175;176232;176254;176264;176374;176397;176401;176404;176531;176555;176723;176738;176935;176964;176992;177012;177027;177092;177327;177480;177660;177906;178038;178102;178290;178435;178453;178540;178596;178628;178687;178821;178974;179007;179087;179117;179152;179217;179278;179303;179410;179434;179540;180452;180453,165540,,""
Peninsula Park andd Rose Garden Trails,165547;165673;165674;165691;165719;165860;166036;166068;166096;170419;170618;170731;170771;170772;170836;171135;171146;171189;171441;171615;172027;172428;173136;175265;175610;175658;175937;175968;176017;176039;176511;176717;177074;177406;177436;177441;177632;177640;177821;178010;178101;178176;178244;178618;178669;178702;178715;178958;178979;179004;179005;179456;180100;180163;181860;181865;181867;181869;181870,165547,,""
Vietnam Veterans Of Oregon Memorial,165548;165558;171504;171760;171846;171847;172507;175231;175233;175590;176199;176427;176780;177167;177717,165548,,""
Sellwood Riverfront Park Trails,165593;165672;165696;165697;165746;165796;165876;165879;169965;170004;170271;170315;170482;170680;170834;170968;171482;171518;172163;173582;173583;173863;173980;174050;174197;174440;174561;174659;174767;174984;175217;175512;175622;176540;176663;176996;176997;177089;177094;177136;177418;177968;178211;178221;178526;178766;178906;179008;179044;179076;179088;179360;179525;179853,170271,,""
Holladay Park Trails,165572;165844;166065;170672;171132;171178;171530;174740;176021;176421;177410;177820;178657;178707;178948;178965;179913;180480;181689;181690;181691;181692;181693,165572,,""
Kenilworth Park Trails,165573;170691;171077;171502;171692;172883;175051;175432;175661;176736;176813;177115;177119;177158;177439;177684;178634;179119;179504;180121;180944;180945;180946;180948,165573,,""
Pier Park Trails,165579;165653;165727;165769;165812;166028;166120;166259;166286;166733;167569;167575;167786;168360;168690;168691;168700;168790;169102;169274;169367;169448;169449;169645;169839;170007;170009;170041;170065;170397;170989;170995;171050;171177;171191;171213;171255;171317;171968;172149;172177;172458;172572;172796;172828;173539;174409;174418;174548;174715;174928;174947;175015;175186;175659;175815;176128;176152;176345;177130;177195;177196;177391;177404;177883;177978;178074;178155;178198;178456;178903;179029;179108;179184;179287;179535;180837;180838;181876,165579,,""
Arbor Lodge Park Trails,165588;165695;165817;168395;168396;168397;168398;171083;172424;173048;173049;173556;173687;174639;175081;175480;176074;176453;176454;176718;178009;178400;178520;181586,165588,,""
Washington Park Trails,165589;165605;165644;165785;166022;166055;166115;166196;166197;167525;168304;168971;169190;169602;169794;169796;170133;170201;170514;170653;170706;170708;170762;170763;171192;171320;171554;171686;171779;171780;171854;171886;172174;172361;172609;172807;172808;172985;172987;173070;173223;173238;173877;173932;173962;173981;174039;174288;174546;174723;174945;175100;175160;175230;175593;175735;175766;175783;175902;176041;176210;176524;176607;176640;176694;176695;176952;177033;177169;177461;177473;177655;177658;177879;177880;178071;178235;178396;178462;178613;178835;179120;179134;179144;179195;179339;179436;179753;179754;180182;180373;181807,165589,,""
Unthank Park Trails,167582;167583;168697;170290;170291;170353;170354;180649;180650,170290,,""
International Rose Test Garden Trails,165599;165694;165722;165872;165915;165987;166006;166063;166099;170559;170567;171036;171270;171472;171583;172462;172776;173592;173593;174002;174003;174842;175010;175395;175690;176637;176638;176690;176784;176855;176928;176954;177008;177009;177062;177073;177520;177685;177781;177788;177816;178008;178080;178123;178172;178395;178541;178620;178905;178949;179482;180125,165599,,""
Kelley Point Park Trails,165824;166126;169275;170044;170829;171172;171210;171387;171417;172141;172242;175697;176093;176112;176226;176371;176468;176534;176623;176644;176645;176709;176870;177544;178428;179176;179248;179250;179524;181188,177544,,""
Brentwood Park Trails,165606;165874;170483;171040;171924;172352;174843;174982;176281;179012;181827;181828;181829,165606,,""
Floyd Light Middle School Trails,165609;170047;170792;170793;173717;173744;174741;177337;177448;177569;177680;177681;177682;178036;178083;179601;179602;180021;180022;181075;181078,165609,,""
Westmoreland Park Trails,165625;167258;167259;167260;167261;170732;172258;173826;174031;174931;175663;175817;175862;175903;176485;176807;177421;177425;177777;177822;178072;178091;178894;179187;180434,165625,,""
Duniway Park Trails,165645;167134;167326;167331;167713;168584;168585;168586;168587;168685;168764;168819;168961;169770;170617;171071;171278;171310;171684;171850;174501;174972;176908;177458;177760;178611;180094,165645,,""
South Park Blocks,165714;165871;165891;169150;170001;170309;170675;170724;170747;170759;170877;170966;171307;171619;171672;171872;171920;172064;172176;172474;172607;172939;173440;173702;173900;174190;174196;174277;174278;174279;174318;174652;174653;174789;174965;175076;175214;175221;175337;175344;175583;175584;175662;175887;176200;176402;176742;176933;177180;177205;177217;177440;177489;177562;177600;177725;177787;177829;177848;177868;177869;178173;178246;178339;178554;178555;178738;178780;178927;178940;178941;178942;178943;179011;179023;179046;179323;179367;179380;179413;179469;179492;179493;179598;179599;179625;179629;179630;180170;180528;180529,170309,,""
Marshall Park Trails,166836;167103;167155;167156;167157;167158;167159;169052;175570;176002;176006;176110;176182;176222;176366;176440;176471;176536;176619;176938;176974;176988;177549;177550;177926;177941;178055;180836;180881;180882;180886,177549,,""
Ash Creek Natural Area Trails,165665;165666;169465;169632;171710;171781;172722;179232;179233;179284,165665,,""
Alberta Park Trails,165675;165888;165894;166075;166079;166497;166498;167135;167468;168760;168765;170932;171869;174927;175109;175453;175493;176532;178963;179332;179371;181216;181217;181308;181390;181399;181489;181491;181492,165675,,""
Forest Park Trails,166074;166198;166202;166293;166294;166444;166445;166518;166754;166775;166776;166830;167503;167528;167556;167559;167572;167590;167591;167603;167607;167609;167610;167611;167614;167696;167784;167939;167979;167999;168164;168165;168303;168305;168362;168607;168614;168784;168968;169128;169200;169357;169365;169613;169638;169681;169827;169969;169991;170028;170037;170038;170091;170100;170130;170176;170177;170178;170230;170231;170232;170233;170234;170323;170325;170327;170328;170329;170387;170432;170434;170500;170525;170705;171047;171048;171601;171602;171605;171606;171609;171610;171611;171612;171787;171840;171965;171971;172004;172007;172023;172029;172047;172049;172099;172113;172234;172298;172340;172548;172559;172585;172625;172716;172736;172806;172974;173095;173152;173183;173184;173371;173381;173445;173446;173453;173498;173499;173501;173509;173584;173598;173627;173648;173667;173818;173819;173876;173905;173906;173938;174024;174025;174093;174097;174105;174113;174114;174171;174172;174180;174262;174275;174276;174286;174340;174366;174397;174401;174404;174474;174475;174497;174708;174733;174745;174800;174828;174830;174846;174850;174885;174889;174898;174922;174923;174937;174950;174974;174975;174997;175000;175006;175007;175014;175044;175047;175057;175089;175090;175099;175101;175124;175232;175277;175366;175369;175472;175604;175608;175669;175710;175750;175755;175757;175773;175775;175805;175845;175852;175923;175957;175977;175984;176013;176015;176026;176054;176056;176059;176060;176062;176094;176116;176160;176162;176164;176167;176169;176170;176189;176211;176212;176218;176241;176242;176253;176271;176275;176276;176277;176344;176386;176392;176393;176394;176395;176425;176433;176445;176448;176460;176499;176500;176514;176566;176567;176572;176575;176594;176673;176674;176681;176747;176750;176767;176769;176790;176793;176841;176843;176889;176890;176892;176894;176895;176911;177044;177045;177046;177047;177219;177220;177295;177305;177306;177309;177310;177339;177503;177504;177610;177701;177835;177881;177882;177939;177990;178106;178200;178201;178222;178229;178230;178232;178294;178298;178511;178556;179000;179103,170323,,""
Hoyt Arboretum Trails,165684;165773;165862;165863;165869;166287;166431;166920;167392;167555;167570;167704;169362;169667;169785;169815;169864;170013;170063;170393;170531;170811;170875;170896;170988;171161;171182;171250;171848;171881;171896;171909;172048;172096;172173;172214;172215;172312;172477;172570;172629;172679;172699;173021;173033;173035;173187;173241;173442;173450;173508;173570;173590;173653;173713;173820;173833;173948;174108;174169;174187;174244;174367;174382;174383;174390;174402;174405;174489;174555;174631;174766;174827;174851;174852;174886;174890;174902;174930;174978;174988;174991;175008;175009;175039;175087;175242;175278;175284;175539;175595;175606;175613;175672;175787;175807;175808;175843;175952;175956;176025;176066;176079;176086;176154;176157;176161;176171;176217;176244;176270;176272;176278;176282;176327;176328;176341;176389;176390;176535;176842;176926;177039;177040;177153;177170;177197;177492;177493;177524;177555;177874;178011;178079;178231;178234;178625;178679;179320;179355;179356;179379;179396;179397;179547;179922,165684,,""
Sellwood Park Trails,165713;165889;167527;167641;170012;173177;174191;177191;178853,165713,,""
April Hill Park Trails,165715;175454;176510;181417,165715,,""
Grant Park Trails,165737;165895;166106;168582;168629;168709;168710;169288;169289;169290;169291;169292;169799;170385;170729;171031;171660;173967;174337;174865;177346;177560;177654;177871;177980;178043;178543;178585;178599;178624;178749;178783;179557,177560,,""
Tideman Johnson Natural Area Trails,169520;169762;170070;170077;170336;170347;170350;171019;171020;171462;171599;171600;171753;171810;171811;171839;171843;171859;171864;171865;172296;172310;172341;172599;172664;172666;172735;172896;172933;173036;173294;174594;174797;174868;175211;175212;175402;176450;176451;176630;176632,170336,,""
Custer Park Trail,165748;180968,165748,,""
Oaks Bottom Wildlife Refuge Trails,166129;167104;167524;167787;168003;168631;168794;168795;169518;169870;170024;170348;170817;170818;170934;170936;170937;171351;171882;172006;172204;172269;172345;172346;172347;172393;172394;172438;172449;172469;172601;172643;172822;172823;172824;172997;173027;173239;173295;173335;173454;173572;173783;173894;173919;173930;173936;174168;174436;174445;174451;174460;174461;174462;174552;174553;174564;174573;174632;174724;174727;174747;174770;174771;174772;174939;174942;175011;175041;175042;175043;175063;175152;175154;175155;175156;175227;175229;175249;175312;175319;175568;175603;175615;175616;175719;175847;175848;175853;175993;176495;176774;176775;176934;176936;176937;177021;177022;177028;177981;178112;178205,170348,,""
Laurelhurst Park Trails,165774;165795;165854;166098;168161;169566;170200;170502;170730;170961;171365;171728;171858;171991;172342;172343;172986;174419;174545;174792;175717;175767;175796;175812;176486;177108;177135;177423;177437;177576;177719;177752;177849;177862;178130;178262;178314;178315;178560;178641;178769;179009;179118;179251;179372;179531;179773;179774;179775;179776;179804;180079;180080;180085;180234;180527;180645;180902;180905;180929;180930;180933;180936,165774,,""
Dawson Park Trails,167180;167536;167537;167538;167539;167540;167541;170355;170356;170357;170358;170359;170360,170355,,""
St. Francis Park Trails,166419;166555;166556;166557;166558;166559;166560;166561;166562;166563;166564;166565;166566;166567;166568;166569;166570,166559,,""
Creston Park Trails,165941;166017;170374;170853;170884;172115;172130;172288;172289;173523;175220;175596;175901;177430;177601;178752;178867;178868;179037;179237;179322;179412;180965;180966;180967,170374,,""
Chapman Square Park Trails,166103;169952;170382;172225;177707;178926;179338;179533,170382,,""
Raymond Park Trails,165846;165967;169572;169573;169943;171079;171367;171616;171617;175867;175944;177435;177785;178213;179495;180663;180906;180909,165846,,""
Hillsdale to Lake Oswego Trail,167306;169418;169597;169695;169911;169915;170414;170824;171006;171221;171288;171464;171826;171934;171946;171955;171996;172407;172408;172412;172692;172864;172874;172952;173052;173061;173201;173255;173258;173969;174138;180090;180091;181191,170414,,""
Macleay Park Trails,167608;167743;168189;169728;170134;170428;170429;171526;171527;171528;171702;171963;171973;172058;172284;172285;172971;173080;173448;173449;174211;174287;174491;174549;175895;176194;176280;176334;176414;176516;176603;176655;176903;176981;177307;177308;178567;178568;178733;181034;181035,170428,,""
Woods Memorial Natural Area Trails,166755;167604;167605;167998;168188;168615;169873;171343;171788;173072;173640;173647;174103;174174;175403;175607;175611;175612;175670;175677;175680;175725;175780;175871;175875;176063;176077;176085;176087;176140;176163;176321;176325;176748;176753;177201;177602;177603;177834;178777;178778;179045;179552,177602,,""
Overlook Park Trails,168399;168400;168779;168780;170455;174006;175082;176698;178819,170455,,""
Couch Park Trails,167213;167214;167215;167216;169498;169499;169699;169700;169701;170456;170457;170458,170456,,""
Holly Farm Park Trails,166047;170521;170650;170901;171691;174612;174671;174759;175001;175684;176287;176508;177151;177843;177846;179052;181694;181695;181696;181697;181752;181753,166047,,""
Sunset Transit Center Trails,168073;168556;168650;168850;169914;169998;170000;170462;171682;171793;173772;181220;181442,170462,,""
Whitaker Ponds Nature Park Trails,166072;166077;167136;167640;167716;167717;167940;167942;167944;167978;168252;168756;168984;170707;171640;175455;176959;178356;178360,166072,,""
Powell Butte Nature Park Trails,166109;166203;166295;168001;168701;168982;168983;169526;169557;169560;170513;170687;170935;172005;172311;172443;173020;173023;173094;173186;173500;173512;173615;173714;173893;173945;174021;174022;174092;174112;174170;174175;174186;174245;174379;174381;174384;174385;174386;174389;174398;174450;174492;174494;174559;174603;174794;174796;174803;174805;174806;174829;174831;174854;174892;174897;174899;174900;174901;174903;174921;174924;174973;174989;174995;175125;175276;175350;175405;175510;175541;175609;175627;175636;175638;175748;175753;175754;175758;175772;175781;175782;175786;175842;175894;175922;175958;176011;176014;176028;176032;176052;176053;176057;176061;176078;176084;176127;176134;176142;176165;176166;176168;176186;176192;176246;176315;176320;176336;176337;176338;176346;176383;176385;176387;176570;176682;176749;176776;176802;176803;176804;176805;176806;176840;176912;177264;177352;177353;177354;177827;177830;177831;177877;177878;178225;178227;178228;178233;178277;178295;178296;178297;180844,166109,,""
Wellington Park Trails,170145;170146;170147;170148;170149;170504;174412;174413;174421;177755;178689,170504,,""
Harney Park Trails,166177;166178;166179;166180;166181;166182;166183;166184;167600;167601;170849;171111;172065,166177,,""
Knott Park Trails,166211;166212;166213;166214;166215;166216;166217;166218;167044;167045;167046;167047;167048;167049;167050;167051;167052;167053;167054;167055;167056;167057;167058;167059;167060;167061;167126;167127;167128;167129;167130;167441;168015;168016;168246;168247;168248,166211,,""
Glenwood Park Trails,170520;170522;175465;176697;180398;180399;180400;180401;180466;180467,170520,,""
Parklane Park Trails,166224;166225;166226;166227;166228;166229;181205,166229,,""
Foley Balmer Natural Area,170605;170815;170816;171127;171128,170605,,""
University Park Trails,166471;166472;166473;167870;167871;167872;167873;168187;168190;168191;180591;180592,166471,,""
Joseph Wood Hill Park Trails,166499;166500;167602;167849;172066;172067;172068;172069;172070;172071;172072;172073;172074;172075;172076;172077;172078;172079;172325;180275,166499,,""
Scott ES Trails,169926;171827;173166,171827,,""
Ed Benedict Park Trails,166538;166539;166540;166552;166957;166958;166959;166960;166961;166962;166963;166964;166965;166966;167021;167022;167068;167069;167070;167071;167072;167073;167270;167271;167272;167627;167628;167629;167630;169227;169228;169229;169230;180436;180601;180602,166539,,""
Leach Botanical Garden Trails,173964;174167;174222;174223;174224;174225;174226;174230;174231;174256;174257;174258;174259;174300;174357;174359;174360;174361;174362;174375;174376;174377;174378;174517;174678;174679;174680;174681;174682;174683;174684;174686;174687;174776;174777;174778;174779;174780;174781;174782;174787;174814;174815;174816;174817;174818;174820;174821;174907;174917;174918;174919;174920;174964;174998;175026;175027;175028;175029;175031;175032;175033;175034;175045;175064;175065;175066;175067;175068;175069;175070;175083;175084;175104;175105;175106;175107;175174;175224;175226;175290;175297;175303;175304;175323;175325;175326;175327;175328;175329;175330;175331;175332;175333;175334;175335;175336;175359;175377;175378;175379;175380;175381;175382;175383;175384;175385;175386;175434;175435;175436;175437;175438;175439;175440;175441;175442;175443;175444;175445;175446;175447;175448;175449;175450;176998;179713;179715;179716;179717;179723;179854;179859,179713,,""
Powell Park Trails,166571;167007;167008;167011;167910;167911;167912;167913;167914;167915;167916;167917,166571,,""
Clatsop Butte Park Trails,171837;172084;172785;173135;173197;173199;173237;173419;173595;173622;173680;173681;174342;174438;174464;174502;174567;174665;174666;174773;174960;174961;175318;175364;177023;177025,171837,,""
Errol Heights Park Trails,171844;172271;172315;172578;172972;172973;173149;173150;173297;173380;173462;173463;174184;174298;174345;174374;174439;174635;174660;174880;174996;175046;175091;175127;175305;175617;175619;175623;175648;177020,171844,,""
East Holladay Park Trails,168523;168524;169593;180299;180470,180470,,""
Kelly Butte Natural Area Trails,171803;171806;171860;171866;172054;172198;172297;172359;172561;172573;172608;172624;172667;172668;172673;172682;172685;172733;173336;173435;173596;173951;174521;174593;174606;174819;174869;175146;175401;175645;175646;176919;176922;176994;177001;179857;179858,171860,,""
Cherry Blossom Park Trails,166768;166878;166952;166953;166954;166955;166956;167263;167264;167265;167266;167267,166768,,""
Normandale Park Trails,166841;170153;170154,166841,,""
Glenhaven Park Trails,166842;178390;178801;178802;180023;180060;180061,166842,,""
Chimney Park Trails,166857;166858;166859;166869;167789;167862;168473;169173,166857,,""
Burlingame Park Trails,171936;172158;175309;178429;179168;181885;181886;181893;181894,171936,,""
Mt Scott Park Trails,166885;166886;166887;167996;167997;168093;168094;168095;168096;168097;168098,166885,,""
East Delta Park Trails,166909;167877;167878;179577;180512,166909,,""
Waterfront Park Trails,168238;169120;170647,170647,,""
Argay Park Trails,166977;167672;167673;167674;167676;167677;167678;167679;167681;167682;167683;167684;168100;168101;168102;180781;180782,166977,,""
Gilbert Heights Park Trails,166978;166979;166980;166981;168066;168067;168068;168812;168813;168814;168815;168816;168817;168818;169022;169023;169103;169104;169105,166978,,""
Clinton Park Trails,167067;168583;168695;169315;169316;169317,167067,,""
Earl Boyles Park Trails,167074;167075;167076;167368;167369;167370;167371;167958;167959;169050;169060;169061;169062;169063;169064;169065;169066;169067;169068;169069;169070;169071;169072;169073;169074;169242;169243;169283;169284;169285;169286;180971,167074,,""
Hamilton Park Trails,167195;168017;174147;174148;175692,167195,,""
Lents Park Trails,167386;167387;167388;167393;167394;167395;167396;167397;167398;167467;167985;167986;167987;167988;167989;168505;168759;169236;169237;169276;169277;169278;169279;170789;170994;172515;173424;174881;176953;177276;177277;178098;178546;179162;179179;179346;180938;181934,170789,,""
Woodstock Park Trails,169569;170144;175430;178012;178720;179604;179605;179822;179823;180444;180445;180611;180612,179822,,""
Rose City Park Trails,178725;178730;179316;179382;179383;179384;179827;180728;181258;181259;181263,179827,,""
Farragut Park Trails,167451;167463;167464;167465;167466;167812;167879;167880,167451,,""
Albert Kelly Park Trails,167495;169129;172508;175504;175507;175508;175929;175986;175987;176115;176466;176626;176627;177184;177185;177802;177803;177804,167495,,""
Northgate Park Trails,167866;167867;167868;167890;167893;168271;168272;168773;168774;168775;168776;168777;168778;168914;179849;180169;180277;181251;181252,179849,,""
Council Crest Park Trails,170861;171474;172305;172872;172995;173672;174539;174672;174946;175080;175534;175626;175764;175835;175988;176687;177010;177064;178087;178177;179194;179347;179406;180313;180369;180371;180372,170861,,""
Trenton Park Trails,167724;167725,167724,,""
Wallace Park Trails,167769;167770;167771;167772;167773;167774;167775;167776;167777;168117,167769,,""
South Waterfront Neighborhood Park Trails,167780;167781;167782;167783;168166;168167;168168;168169;168170;168171;168172;168173;168174;168175;168176;168235;168964;178603;178604;178813;179204;179205;181386;181387;181388;181463,167780,,""
Bloomington Park Trails,167990;167991;167992;167993;167994;167995;169314,167990,,""
Lownsdale Square Park Trails,168962;171038;173470;174099;175761;175966;177147;178293;179075;180122;180123;180124,171038,,""
Flavel Park Trails,168099,168099,,""
Hillside Park Trails,168124;168125,168124,,""
Brooklyn Park Trails,168194;168197;169244;169245;169318;169319,168194,,""
Dickinson Park Trails,171978;171979;173155;173156;178215;178642,171978,,""
Plaza Park Trails,168293;168294;169268;169269;169270,168293,,""
Holman Property Trails,170129;170235;171792;171983;172787;172812;173053;173064;174490;174663;174705;174706;174712;174785;174802;175317;176058;176388;176493;176494;177611;177702,171983,,""
Oregon Park Trails,168388;168389;168708;168711;168712;168713;168714;168715;168716;168717;168940,168388,,""
Willamette Park Trails,169223;169224;171158;171159;171458;171459;176349;177663,171158,,""
Kenton Park Trails,168456;168457;168727;168728;168729;168730;168731;168732;168733,168456,,""
St. Johns Park Trails,168474;168475;168481;168781,168474,,""
George Park Trails,168478;168479;168480,168478,,""
Harrison Park Trails,168545;168546;168547;168548,168545,,""
Essex Park Trails,168549;168550;169354;169355;169372,168549,,""
Council Crest Park Trails Connector,180370,180370,,""
South Park Bocks,171345;179626;179627;179628,171345,,""
Eastridge Park Trails,169029;169030;169106;169107;169108;179590;180211;180216,169029,,""
Montavilla Park Trails,169012;169013;170150;170151;170152;181152,169012,,""
Jamison Square Park Trails,175410;177228;177847;179100;180068,180068,,""
Lesser Park Trails,169752;173103;177463;179171,169752,,""
Hillsdale Park Trails,171665;175461;175462;175463,171665,,""
Marquam Nature Park Trails,173171;173544;173799;174023;174207;174208;174620;174622;175351;175913;176075;176456;176458;176459;176489;176616;176646;176647;176648;176649;176677;176678;176679;176683;176684;176685;176791;176792;176846;176853;176854;177041;177218;177302;177303;177304;177490;177491;179041;179113;179155;180774;180779;180795;180796;180797;180798;180802;180804;180805,173799,,""
Alder Ridge Natural Area Trails,173224;177042;177043;177116;177360;177361;177424;177703;177704;177705;177706;178122,177703,,""
Crystal Springs Rhododendron Gardens Trails,172479;174822;175975;176906;177414;177426;178006;178750;179378,172479,,""
Madrona Park Trails,172849;173998;181036;181037,172849,,""
Pendleton Park Trails,176291;177901;177902,177901,,""
Linnton Park Trails,173022;175126;176768,173022,,""
George Himes Park Trails,173153;173510;173616;174243;175244;176406;176796;176797;176915,173153,,""
Forest Heights Park Trails,173578;173761;173942;174124;174353;176333,173578,,""
Kern Park Trails,174411;180949;180951,174411,,""
Rose City Golf Course Trails,174963,174963,,""
Colonel Summers Park Trails,175760;175864;177400;181739;181740;181741;181742,175760,,""
Two Plum Park Trails,176147;176311;179021;181795;181796;181797,179021,,""
Pittock Mansion and Acres Trails,176176,176176,,""
Hayhurst ES Park Trails,176523,176523,,""
Smith and Bybee Welands Natural Area Trails,180502,180502,,""
Beggars Tick Natural Area Trails,180576;180577;180578,180576,,""
Local,165526;165527;165530;165531;165532;165533;165534;165535;165536;165537;166327;170265;177532;177533,165526,,""
